Company_Name,Official_Website,LinkedIn_URL,Description,Product,All_Results,Qualified_Products
Epic Games,epicgames.com,https://www.linkedin.com/company/epic-games,"Epic Games is a leading interactive entertainment company and provider of 3D engine technology. Epic operates Fortnite, one of the world's largest games with over 350 million accounts and 2.5 billion friend connections. Epic also develops Unreal Engine, which powers the world's leading games and is also adopted across industries such as film and television, architecture, automotive, manufacturing, and simulation. Through Unreal Engine, Epic Games Store, and Epic Online Services, Epic provides an end-to-end digital ecosystem for developers and creators to build, distribute, and operate games and other content.",AI,"{
  ""product"": ""AI"",
  ""general_status"": false,
  ""general_criteria"": {
    ""passed"": false,
    ""passed_count"": 0,
    ""total_count"": 1,
    ""detailed_criteria"": [
      {
        ""criteria_text"": ""The company does not have headquarters in Mainlaind China, Iran or Russia."",
        ""result"": ""Fail""
      }
    ]
  },
  ""qualification_results"": {
    ""Enterprise Digital Transformers"": ""Yes"",
    ""Data-First Innovators"": ""Yes"",
    ""Software ISVs & System Integrators"": ""Yes"",
    ""AI-Native Startups"": ""No"",
    ""Public Sector Agencies"": ""No""
  },
  ""qualified_audiences"": [
    ""Enterprise Digital Transformers"",
    ""Data-First Innovators"",
    ""Software ISVs & System Integrators""
  ],
  ""detailed_results"": {
    ""Enterprise Digital Transformers"": {
      ""audience"": ""Enterprise Digital Transformers"",
      ""qualification_status"": ""Passed"",
      ""mandatory_status"": ""Passed"",
      ""mandatory_criteria"": [
        {
          ""criteria_text"": ""Mentions digital transformation or intelligent systems"",
          ""result"": ""Pass""
        },
        {
          ""criteria_text"": ""Mentions use of AI in at least two different business functions"",
          ""result"": ""Pass""
        }
      ],
      ""nth_results"": {
        ""score"": 1.0,
        ""total_criteria"": 2,
        ""passed_criteria"": 2,
        ""nd_criteria"": 0,
        ""pass_rate"": 1.0,
        ""detailed_criteria"": [
          {
            ""criteria_text"": ""Mentions structured AI programs or leadership roles"",
            ""result"": ""Pass""
          },
          {
            ""criteria_text"": ""Mentions formal AI strategy, budget, or program ownership"",
            ""result"": ""Pass""
          }
        ]
      },
      ""final_status"": ""Qualified""
    },
    ""Data-First Innovators"": {
      ""audience"": ""Data-First Innovators"",
      ""qualification_status"": ""Passed"",
      ""mandatory_status"": ""Passed"",
      ""mandatory_criteria"": [
        {
          ""criteria_text"": ""Company offers personalized, real-time, or automated digital services as a core feature"",
          ""result"": ""Pass""
        }
      ],
      ""nth_results"": {
        ""score"": 1.0,
        ""total_criteria"": 2,
        ""passed_criteria"": 2,
        ""nd_criteria"": 0,
        ""pass_rate"": 1.0,
        ""detailed_criteria"": [
          {
            ""criteria_text"": ""Mentions fast iteration, innovation, or scaling of digital services"",
            ""result"": ""Pass""
          },
          {
            ""criteria_text"": ""References using customer behavior or data insights to enhance services"",
            ""result"": ""Pass""
          }
        ]
      },
      ""final_status"": ""Qualified""
    },
    ""Software ISVs & System Integrators"": {
      ""audience"": ""Software ISVs & System Integrators"",
      ""qualification_status"": ""Passed"",
      ""mandatory_status"": ""Failed"",
      ""mandatory_criteria"": [
        {
          ""criteria_text"": ""Company states it builds, integrates, or deploys AI solutions or platforms for enterprise clients"",
          ""result"": ""Fail""
        }
      ],
      ""nth_results"": {},
      ""final_status"": ""Failed""
    }
  }
}","QUALIFIED: Enterprise Digital Transformers
NTH Score: 1.000
Total NTH Criteria: 2
Passed: 2
ND (No Data): 0"
Epic Games,epicgames.com,https://www.linkedin.com/company/epic-games,"Epic Games is a leading interactive entertainment company and provider of 3D engine technology. Epic operates Fortnite, one of the world's largest games with over 350 million accounts and 2.5 billion friend connections. Epic also develops Unreal Engine, which powers the world's leading games and is also adopted across industries such as film and television, architecture, automotive, manufacturing, and simulation. Through Unreal Engine, Epic Games Store, and Epic Online Services, Epic provides an end-to-end digital ecosystem for developers and creators to build, distribute, and operate games and other content.",AI,"{
  ""product"": ""AI"",
  ""general_status"": false,
  ""general_criteria"": {
    ""passed"": false,
    ""passed_count"": 0,
    ""total_count"": 1,
    ""detailed_criteria"": [
      {
        ""criteria_text"": ""The company does not have headquarters in Mainlaind China, Iran or Russia."",
        ""result"": ""Fail""
      }
    ]
  },
  ""qualification_results"": {
    ""Enterprise Digital Transformers"": ""Yes"",
    ""Data-First Innovators"": ""Yes"",
    ""Software ISVs & System Integrators"": ""Yes"",
    ""AI-Native Startups"": ""No"",
    ""Public Sector Agencies"": ""No""
  },
  ""qualified_audiences"": [
    ""Enterprise Digital Transformers"",
    ""Data-First Innovators"",
    ""Software ISVs & System Integrators""
  ],
  ""detailed_results"": {
    ""Enterprise Digital Transformers"": {
      ""audience"": ""Enterprise Digital Transformers"",
      ""qualification_status"": ""Passed"",
      ""mandatory_status"": ""Passed"",
      ""mandatory_criteria"": [
        {
          ""criteria_text"": ""Mentions digital transformation or intelligent systems"",
          ""result"": ""Pass""
        },
        {
          ""criteria_text"": ""Mentions use of AI in at least two different business functions"",
          ""result"": ""Pass""
        }
      ],
      ""nth_results"": {
        ""score"": 1.0,
        ""total_criteria"": 2,
        ""passed_criteria"": 2,
        ""nd_criteria"": 0,
        ""pass_rate"": 1.0,
        ""detailed_criteria"": [
          {
            ""criteria_text"": ""Mentions structured AI programs or leadership roles"",
            ""result"": ""Pass""
          },
          {
            ""criteria_text"": ""Mentions formal AI strategy, budget, or program ownership"",
            ""result"": ""Pass""
          }
        ]
      },
      ""final_status"": ""Qualified""
    },
    ""Data-First Innovators"": {
      ""audience"": ""Data-First Innovators"",
      ""qualification_status"": ""Passed"",
      ""mandatory_status"": ""Passed"",
      ""mandatory_criteria"": [
        {
          ""criteria_text"": ""Company offers personalized, real-time, or automated digital services as a core feature"",
          ""result"": ""Pass""
        }
      ],
      ""nth_results"": {
        ""score"": 1.0,
        ""total_criteria"": 2,
        ""passed_criteria"": 2,
        ""nd_criteria"": 0,
        ""pass_rate"": 1.0,
        ""detailed_criteria"": [
          {
            ""criteria_text"": ""Mentions fast iteration, innovation, or scaling of digital services"",
            ""result"": ""Pass""
          },
          {
            ""criteria_text"": ""References using customer behavior or data insights to enhance services"",
            ""result"": ""Pass""
          }
        ]
      },
      ""final_status"": ""Qualified""
    },
    ""Software ISVs & System Integrators"": {
      ""audience"": ""Software ISVs & System Integrators"",
      ""qualification_status"": ""Passed"",
      ""mandatory_status"": ""Failed"",
      ""mandatory_criteria"": [
        {
          ""criteria_text"": ""Company states it builds, integrates, or deploys AI solutions or platforms for enterprise clients"",
          ""result"": ""Fail""
        }
      ],
      ""nth_results"": {},
      ""final_status"": ""Failed""
    }
  }
}","QUALIFIED: Data-First Innovators
NTH Score: 1.000
Total NTH Criteria: 2
Passed: 2
ND (No Data): 0"
Microsoft,microsoft.com,https://www.linkedin.com/company/microsoft,"Microsoft Corporation is an American multinational technology corporation which produces computer software, consumer electronics, personal computers, and related services. Microsoft is best known for its Windows line of operating systems, the Microsoft Office suite, and the Internet Explorer and Edge web browsers. Its flagship hardware products are the Xbox video game consoles and the Microsoft Surface lineup of touchscreen personal computers.",AI,"{
  ""product"": ""AI"",
  ""general_status"": true,
  ""general_criteria"": {
    ""passed"": true,
    ""passed_count"": 1,
    ""total_count"": 1,
    ""detailed_criteria"": [
      {
        ""criteria_text"": ""The company does not have headquarters in Mainlaind China, Iran or Russia."",
        ""result"": ""Pass""
      }
    ]
  },
  ""qualification_results"": {
    ""Enterprise Digital Transformers"": ""Yes"",
    ""Data-First Innovators"": ""Yes"",
    ""Software ISVs & System Integrators"": ""Yes"",
    ""AI-Native Startups"": ""No"",
    ""Public Sector Agencies"": ""No""
  },
  ""qualified_audiences"": [
    ""Enterprise Digital Transformers"",
    ""Data-First Innovators"",
    ""Software ISVs & System Integrators""
  ],
  ""detailed_results"": {
    ""Enterprise Digital Transformers"": {
      ""audience"": ""Enterprise Digital Transformers"",
      ""qualification_status"": ""Passed"",
      ""mandatory_status"": ""Failed"",
      ""mandatory_criteria"": [
        {
          ""criteria_text"": ""Mentions digital transformation or intelligent systems"",
          ""result"": ""Fail""
        },
        {
          ""criteria_text"": ""Mentions use of AI in at least two different business functions"",
          ""result"": ""Fail""
        }
      ],
      ""nth_results"": {},
      ""final_status"": ""Failed""
    },
    ""Data-First Innovators"": {
      ""audience"": ""Data-First Innovators"",
      ""qualification_status"": ""Passed"",
      ""mandatory_status"": ""Failed"",
      ""mandatory_criteria"": [
        {
          ""criteria_text"": ""Company offers personalized, real-time, or automated digital services as a core feature"",
          ""result"": ""Fail""
        }
      ],
      ""nth_results"": {},
      ""final_status"": ""Failed""
    },
    ""Software ISVs & System Integrators"": {
      ""audience"": ""Software ISVs & System Integrators"",
      ""qualification_status"": ""Passed"",
      ""mandatory_status"": ""Passed"",
      ""mandatory_criteria"": [
        {
          ""criteria_text"": ""Company states it builds, integrates, or deploys AI solutions or platforms for enterprise clients"",
          ""result"": ""Pass""
        }
      ],
      ""nth_results"": {
        ""score"": 1.0,
        ""total_criteria"": 2,
        ""passed_criteria"": 2,
        ""nd_criteria"": 0,
        ""pass_rate"": 1.0,
        ""detailed_criteria"": [
          {
            ""criteria_text"": ""Mentions industry-specific or verticalized AI services (e.g. finance, manufacturing, healthcare)"",
            ""result"": ""Pass""
          },
          {
            ""criteria_text"": ""Mentions a proprietary or branded AI platform, framework, or packaged solution"",
            ""result"": ""Pass""
          }
        ]
      },
      ""final_status"": ""Qualified""
    }
  }
}","QUALIFIED: Software ISVs & System Integrators
NTH Score: 1.000
Total NTH Criteria: 2
Passed: 2
ND (No Data): 0"
Epic Games,epicgames.com,https://www.linkedin.com/company/epic-games,"Epic Games is a leading interactive entertainment company and provider of 3D engine technology. Epic operates Fortnite, one of the world's largest games with over 350 million accounts and 2.5 billion friend connections. Epic also develops Unreal Engine, which powers the world's leading games and is also adopted across industries such as film and television, architecture, automotive, manufacturing, and simulation. Through Unreal Engine, Epic Games Store, and Epic Online Services, Epic provides an end-to-end digital ecosystem for developers and creators to build, distribute, and operate games and other content.",CDN,"{
  ""product"": ""CDN"",
  ""general_status"": false,
  ""general_criteria"": {
    ""passed"": false,
    ""passed_count"": 0,
    ""total_count"": 1,
    ""detailed_criteria"": [
      {
        ""criteria_text"": ""The company does not have headquarters in Mainlaind China, Iran or Russia."",
        ""result"": ""Fail""
      }
    ]
  },
  ""qualification_results"": {
    ""Software/SaaS"": ""Yes"",
    ""Media & Entertainment"": ""No"",
    ""Gaming"": ""Yes"",
    ""Finance"": ""No""
  },
  ""qualified_audiences"": [
    ""Software/SaaS"",
    ""Gaming""
  ],
  ""detailed_results"": {
    ""Software/SaaS"": {
      ""audience"": ""Software/SaaS"",
      ""qualification_status"": ""Passed"",
      ""mandatory_status"": ""Passed"",
      ""mandatory_criteria"": [
        {
          ""criteria_text"": ""Public site exposes \""/api\"", \""/docs\"", or \""/developer\""."",
          ""result"": ""Pass""
        }
      ],
      ""nth_results"": {
        ""score"": 1.0,
        ""total_criteria"": 3,
        ""passed_criteria"": 3,
        ""nd_criteria"": 0,
        ""pass_rate"": 1.0,
        ""detailed_criteria"": [
          {
            ""criteria_text"": ""Public status page link."",
            ""result"": ""Pass""
          },
          {
            ""criteria_text"": ""Claims 99.9 % (or higher) uptime SLA."",
            ""result"": ""Pass""
          },
          {
            ""criteria_text"": ""Site or docs mention more than one country"",
            ""result"": ""Pass""
          }
        ]
      },
      ""final_status"": ""Qualified""
    },
    ""Gaming"": {
      ""audience"": ""Gaming"",
      ""qualification_status"": ""Passed"",
      ""mandatory_status"": ""Passed"",
      ""mandatory_criteria"": [
        {
          ""criteria_text"": ""Mentions multiplayer, online servers, or live-service model."",
          ""result"": ""Pass""
        }
      ],
      ""nth_results"": {
        ""score"": 1.0,
        ""total_criteria"": 4,
        ""passed_criteria"": 4,
        ""nd_criteria"": 0,
        ""pass_rate"": 1.0,
        ""detailed_criteria"": [
          {
            ""criteria_text"": ""Publisher has more than 100 employees"",
            ""result"": ""Pass""
          },
          {
            ""criteria_text"": ""Publishes updates"",
            ""result"": ""Pass""
          },
          {
            ""criteria_text"": ""Operates a dedicated game launcher/platform"",
            ""result"": ""Pass""
          },
          {
            ""criteria_text"": ""Mentions DDoS protection or past attacks mitigation"",
            ""result"": ""Pass""
          }
        ]
      },
      ""final_status"": ""Qualified""
    }
  }
}","QUALIFIED: Software/SaaS
NTH Score: 1.000
Total NTH Criteria: 3
Passed: 3
ND (No Data): 0"
Epic Games,epicgames.com,https://www.linkedin.com/company/epic-games,"Epic Games is a leading interactive entertainment company and provider of 3D engine technology. Epic operates Fortnite, one of the world's largest games with over 350 million accounts and 2.5 billion friend connections. Epic also develops Unreal Engine, which powers the world's leading games and is also adopted across industries such as film and television, architecture, automotive, manufacturing, and simulation. Through Unreal Engine, Epic Games Store, and Epic Online Services, Epic provides an end-to-end digital ecosystem for developers and creators to build, distribute, and operate games and other content.",CDN,"{
  ""product"": ""CDN"",
  ""general_status"": false,
  ""general_criteria"": {
    ""passed"": false,
    ""passed_count"": 0,
    ""total_count"": 1,
    ""detailed_criteria"": [
      {
        ""criteria_text"": ""The company does not have headquarters in Mainlaind China, Iran or Russia."",
        ""result"": ""Fail""
      }
    ]
  },
  ""qualification_results"": {
    ""Software/SaaS"": ""Yes"",
    ""Media & Entertainment"": ""No"",
    ""Gaming"": ""Yes"",
    ""Finance"": ""No""
  },
  ""qualified_audiences"": [
    ""Software/SaaS"",
    ""Gaming""
  ],
  ""detailed_results"": {
    ""Software/SaaS"": {
      ""audience"": ""Software/SaaS"",
      ""qualification_status"": ""Passed"",
      ""mandatory_status"": ""Passed"",
      ""mandatory_criteria"": [
        {
          ""criteria_text"": ""Public site exposes \""/api\"", \""/docs\"", or \""/developer\""."",
          ""result"": ""Pass""
        }
      ],
      ""nth_results"": {
        ""score"": 1.0,
        ""total_criteria"": 3,
        ""passed_criteria"": 3,
        ""nd_criteria"": 0,
        ""pass_rate"": 1.0,
        ""detailed_criteria"": [
          {
            ""criteria_text"": ""Public status page link."",
            ""result"": ""Pass""
          },
          {
            ""criteria_text"": ""Claims 99.9 % (or higher) uptime SLA."",
            ""result"": ""Pass""
          },
          {
            ""criteria_text"": ""Site or docs mention more than one country"",
            ""result"": ""Pass""
          }
        ]
      },
      ""final_status"": ""Qualified""
    },
    ""Gaming"": {
      ""audience"": ""Gaming"",
      ""qualification_status"": ""Passed"",
      ""mandatory_status"": ""Passed"",
      ""mandatory_criteria"": [
        {
          ""criteria_text"": ""Mentions multiplayer, online servers, or live-service model."",
          ""result"": ""Pass""
        }
      ],
      ""nth_results"": {
        ""score"": 1.0,
        ""total_criteria"": 4,
        ""passed_criteria"": 4,
        ""nd_criteria"": 0,
        ""pass_rate"": 1.0,
        ""detailed_criteria"": [
          {
            ""criteria_text"": ""Publisher has more than 100 employees"",
            ""result"": ""Pass""
          },
          {
            ""criteria_text"": ""Publishes updates"",
            ""result"": ""Pass""
          },
          {
            ""criteria_text"": ""Operates a dedicated game launcher/platform"",
            ""result"": ""Pass""
          },
          {
            ""criteria_text"": ""Mentions DDoS protection or past attacks mitigation"",
            ""result"": ""Pass""
          }
        ]
      },
      ""final_status"": ""Qualified""
    }
  }
}","QUALIFIED: Gaming
NTH Score: 1.000
Total NTH Criteria: 4
Passed: 4
ND (No Data): 0"
Microsoft,microsoft.com,https://www.linkedin.com/company/microsoft,"Microsoft Corporation is an American multinational technology corporation which produces computer software, consumer electronics, personal computers, and related services. Microsoft is best known for its Windows line of operating systems, the Microsoft Office suite, and the Internet Explorer and Edge web browsers. Its flagship hardware products are the Xbox video game consoles and the Microsoft Surface lineup of touchscreen personal computers.",CDN,"{
  ""product"": ""CDN"",
  ""general_status"": true,
  ""general_criteria"": {
    ""passed"": true,
    ""passed_count"": 1,
    ""total_count"": 1,
    ""detailed_criteria"": [
      {
        ""criteria_text"": ""The company does not have headquarters in Mainlaind China, Iran or Russia."",
        ""result"": ""Pass""
      }
    ]
  },
  ""qualification_results"": {
    ""Software/SaaS"": ""Yes"",
    ""Media & Entertainment"": ""No"",
    ""Gaming"": ""Yes"",
    ""Finance"": ""No""
  },
  ""qualified_audiences"": [
    ""Software/SaaS"",
    ""Gaming""
  ],
  ""detailed_results"": {
    ""Software/SaaS"": {
      ""audience"": ""Software/SaaS"",
      ""qualification_status"": ""Passed"",
      ""mandatory_status"": ""Passed"",
      ""mandatory_criteria"": [
        {
          ""criteria_text"": ""Public site exposes \""/api\"", \""/docs\"", or \""/developer\""."",
          ""result"": ""Pass""
        }
      ],
      ""nth_results"": {
        ""score"": 1.0,
        ""total_criteria"": 3,
        ""passed_criteria"": 3,
        ""nd_criteria"": 0,
        ""pass_rate"": 1.0,
        ""detailed_criteria"": [
          {
            ""criteria_text"": ""Public status page link."",
            ""result"": ""Pass""
          },
          {
            ""criteria_text"": ""Claims 99.9 % (or higher) uptime SLA."",
            ""result"": ""Pass""
          },
          {
            ""criteria_text"": ""Site or docs mention more than one country"",
            ""result"": ""Pass""
          }
        ]
      },
      ""final_status"": ""Qualified""
    },
    ""Gaming"": {
      ""audience"": ""Gaming"",
      ""qualification_status"": ""Passed"",
      ""mandatory_status"": ""Passed"",
      ""mandatory_criteria"": [
        {
          ""criteria_text"": ""Mentions multiplayer, online servers, or live-service model."",
          ""result"": ""Pass""
        }
      ],
      ""nth_results"": {
        ""score"": 1.0,
        ""total_criteria"": 4,
        ""passed_criteria"": 4,
        ""nd_criteria"": 0,
        ""pass_rate"": 1.0,
        ""detailed_criteria"": [
          {
            ""criteria_text"": ""Publisher has more than 100 employees"",
            ""result"": ""Pass""
          },
          {
            ""criteria_text"": ""Publishes updates"",
            ""result"": ""Pass""
          },
          {
            ""criteria_text"": ""Operates a dedicated game launcher/platform"",
            ""result"": ""Pass""
          },
          {
            ""criteria_text"": ""Mentions DDoS protection or past attacks mitigation"",
            ""result"": ""Pass""
          }
        ]
      },
      ""final_status"": ""Qualified""
    }
  }
}","QUALIFIED: Software/SaaS
NTH Score: 1.000
Total NTH Criteria: 3
Passed: 3
ND (No Data): 0"
Microsoft,microsoft.com,https://www.linkedin.com/company/microsoft,"Microsoft Corporation is an American multinational technology corporation which produces computer software, consumer electronics, personal computers, and related services. Microsoft is best known for its Windows line of operating systems, the Microsoft Office suite, and the Internet Explorer and Edge web browsers. Its flagship hardware products are the Xbox video game consoles and the Microsoft Surface lineup of touchscreen personal computers.",CDN,"{
  ""product"": ""CDN"",
  ""general_status"": true,
  ""general_criteria"": {
    ""passed"": true,
    ""passed_count"": 1,
    ""total_count"": 1,
    ""detailed_criteria"": [
      {
        ""criteria_text"": ""The company does not have headquarters in Mainlaind China, Iran or Russia."",
        ""result"": ""Pass""
      }
    ]
  },
  ""qualification_results"": {
    ""Software/SaaS"": ""Yes"",
    ""Media & Entertainment"": ""No"",
    ""Gaming"": ""Yes"",
    ""Finance"": ""No""
  },
  ""qualified_audiences"": [
    ""Software/SaaS"",
    ""Gaming""
  ],
  ""detailed_results"": {
    ""Software/SaaS"": {
      ""audience"": ""Software/SaaS"",
      ""qualification_status"": ""Passed"",
      ""mandatory_status"": ""Passed"",
      ""mandatory_criteria"": [
        {
          ""criteria_text"": ""Public site exposes \""/api\"", \""/docs\"", or \""/developer\""."",
          ""result"": ""Pass""
        }
      ],
      ""nth_results"": {
        ""score"": 1.0,
        ""total_criteria"": 3,
        ""passed_criteria"": 3,
        ""nd_criteria"": 0,
        ""pass_rate"": 1.0,
        ""detailed_criteria"": [
          {
            ""criteria_text"": ""Public status page link."",
            ""result"": ""Pass""
          },
          {
            ""criteria_text"": ""Claims 99.9 % (or higher) uptime SLA."",
            ""result"": ""Pass""
          },
          {
            ""criteria_text"": ""Site or docs mention more than one country"",
            ""result"": ""Pass""
          }
        ]
      },
      ""final_status"": ""Qualified""
    },
    ""Gaming"": {
      ""audience"": ""Gaming"",
      ""qualification_status"": ""Passed"",
      ""mandatory_status"": ""Passed"",
      ""mandatory_criteria"": [
        {
          ""criteria_text"": ""Mentions multiplayer, online servers, or live-service model."",
          ""result"": ""Pass""
        }
      ],
      ""nth_results"": {
        ""score"": 1.0,
        ""total_criteria"": 4,
        ""passed_criteria"": 4,
        ""nd_criteria"": 0,
        ""pass_rate"": 1.0,
        ""detailed_criteria"": [
          {
            ""criteria_text"": ""Publisher has more than 100 employees"",
            ""result"": ""Pass""
          },
          {
            ""criteria_text"": ""Publishes updates"",
            ""result"": ""Pass""
          },
          {
            ""criteria_text"": ""Operates a dedicated game launcher/platform"",
            ""result"": ""Pass""
          },
          {
            ""criteria_text"": ""Mentions DDoS protection or past attacks mitigation"",
            ""result"": ""Pass""
          }
        ]
      },
      ""final_status"": ""Qualified""
    }
  }
}","QUALIFIED: Gaming
NTH Score: 1.000
Total NTH Criteria: 4
Passed: 4
ND (No Data): 0"
Epic Games,epicgames.com,https://www.linkedin.com/company/epic-games,"Epic Games is a leading interactive entertainment company and provider of 3D engine technology. Epic operates Fortnite, one of the world's largest games with over 350 million accounts and 2.5 billion friend connections. Epic also develops Unreal Engine, which powers the world's leading games and is also adopted across industries such as film and television, architecture, automotive, manufacturing, and simulation. Through Unreal Engine, Epic Games Store, and Epic Online Services, Epic provides an end-to-end digital ecosystem for developers and creators to build, distribute, and operate games and other content.",DDOS,"{
  ""product"": ""DDOS"",
  ""general_status"": false,
  ""general_criteria"": {
    ""passed"": false,
    ""passed_count"": 0,
    ""total_count"": 1,
    ""detailed_criteria"": [
      {
        ""criteria_text"": ""The company does not have headquarters in Mainlaind China, Iran or Russia."",
        ""result"": ""Fail""
      }
    ]
  },
  ""qualification_results"": {
    ""Gaming & Game Development"": ""Yes"",
    ""Financial Services & Fintech"": ""No"",
    ""SaaS, IaaS & IT Service Providers"": ""Yes"",
    ""Media, Entertainment & Streaming"": ""No"",
    ""E-commerce & Retail Tech"": ""No"",
    ""Government & Public Sector"": ""No""
  },
  ""qualified_audiences"": [
    ""Gaming & Game Development"",
    ""SaaS, IaaS & IT Service Providers""
  ],
  ""detailed_results"": {
    ""Gaming & Game Development"": {
      ""audience"": ""Gaming & Game Development"",
      ""qualification_status"": ""Passed"",
      ""mandatory_status"": ""Passed"",
      ""mandatory_criteria"": [
        {
          ""criteria_text"": ""Mentions multiplayer, online servers, or live-service model."",
          ""result"": ""Pass""
        }
      ],
      ""nth_results"": {
        ""score"": 0,
        ""total_criteria"": 0,
        ""passed_criteria"": 0,
        ""nd_criteria"": 0,
        ""pass_rate"": 0.0,
        ""detailed_criteria"": []
      },
      ""final_status"": ""Failed""
    },
    ""SaaS, IaaS & IT Service Providers"": {
      ""audience"": ""SaaS, IaaS & IT Service Providers"",
      ""qualification_status"": ""Passed"",
      ""mandatory_status"": ""Failed"",
      ""mandatory_criteria"": [
        {
          ""criteria_text"": ""Owns ASN, public IP ranges, uses BGP/GRE tunnels."",
          ""result"": ""Fail""
        }
      ],
      ""nth_results"": {},
      ""final_status"": ""Failed""
    }
  }
}",NOT QUALIFIED
Microsoft,microsoft.com,https://www.linkedin.com/company/microsoft,"Microsoft Corporation is an American multinational technology corporation which produces computer software, consumer electronics, personal computers, and related services. Microsoft is best known for its Windows line of operating systems, the Microsoft Office suite, and the Internet Explorer and Edge web browsers. Its flagship hardware products are the Xbox video game consoles and the Microsoft Surface lineup of touchscreen personal computers.",DDOS,"{
  ""product"": ""DDOS"",
  ""general_status"": true,
  ""general_criteria"": {
    ""passed"": true,
    ""passed_count"": 1,
    ""total_count"": 1,
    ""detailed_criteria"": [
      {
        ""criteria_text"": ""The company does not have headquarters in Mainlaind China, Iran or Russia."",
        ""result"": ""Pass""
      }
    ]
  },
  ""qualification_results"": {
    ""Gaming & Game Development"": ""Yes"",
    ""Financial Services & Fintech"": ""No"",
    ""SaaS, IaaS & IT Service Providers"": ""Yes"",
    ""Media, Entertainment & Streaming"": ""No"",
    ""E-commerce & Retail Tech"": ""No"",
    ""Government & Public Sector"": ""No""
  },
  ""qualified_audiences"": [
    ""Gaming & Game Development"",
    ""SaaS, IaaS & IT Service Providers""
  ],
  ""detailed_results"": {
    ""Gaming & Game Development"": {
      ""audience"": ""Gaming & Game Development"",
      ""qualification_status"": ""Passed"",
      ""mandatory_status"": ""Passed"",
      ""mandatory_criteria"": [
        {
          ""criteria_text"": ""Mentions multiplayer, online servers, or live-service model."",
          ""result"": ""Pass""
        }
      ],
      ""nth_results"": {
        ""score"": 0,
        ""total_criteria"": 0,
        ""passed_criteria"": 0,
        ""nd_criteria"": 0,
        ""pass_rate"": 0.0,
        ""detailed_criteria"": []
      },
      ""final_status"": ""Failed""
    },
    ""SaaS, IaaS & IT Service Providers"": {
      ""audience"": ""SaaS, IaaS & IT Service Providers"",
      ""qualification_status"": ""Passed"",
      ""mandatory_status"": ""Passed"",
      ""mandatory_criteria"": [
        {
          ""criteria_text"": ""Owns ASN, public IP ranges, uses BGP/GRE tunnels."",
          ""result"": ""Pass""
        }
      ],
      ""nth_results"": {
        ""score"": 0,
        ""total_criteria"": 0,
        ""passed_criteria"": 0,
        ""nd_criteria"": 0,
        ""pass_rate"": 0.0,
        ""detailed_criteria"": []
      },
      ""final_status"": ""Failed""
    }
  }
}",NOT QUALIFIED
Epic Games,epicgames.com,https://www.linkedin.com/company/epic-games,"Epic Games is a leading interactive entertainment company and provider of 3D engine technology. Epic operates Fortnite, one of the world's largest games with over 350 million accounts and 2.5 billion friend connections. Epic also develops Unreal Engine, which powers the world's leading games and is also adopted across industries such as film and television, architecture, automotive, manufacturing, and simulation. Through Unreal Engine, Epic Games Store, and Epic Online Services, Epic provides an end-to-end digital ecosystem for developers and creators to build, distribute, and operate games and other content.",VM,"{
  ""product"": ""VM"",
  ""general_status"": false,
  ""general_criteria"": {
    ""passed"": false,
    ""passed_count"": 0,
    ""total_count"": 1,
    ""detailed_criteria"": [
      {
        ""criteria_text"": ""The company does not have headquarters in Mainlaind China, Iran or Russia."",
        ""result"": ""Fail""
      }
    ]
  },
  ""qualification_results"": {
    ""Online Gaming"": ""Yes"",
    ""Gambling"": ""No"",
    ""Fintech/Trading"": ""No""
  },
  ""qualified_audiences"": [
    ""Online Gaming""
  ],
  ""detailed_results"": {
    ""Online Gaming"": {
      ""audience"": ""Online Gaming"",
      ""qualification_status"": ""Passed"",
      ""mandatory_status"": ""Passed"",
      ""mandatory_criteria"": [
        {
          ""criteria_text"": ""Mentions multiplayer, online servers, or live-service model."",
          ""result"": ""Pass""
        }
      ],
      ""nth_results"": {
        ""score"": 1.0,
        ""total_criteria"": 3,
        ""passed_criteria"": 3,
        ""nd_criteria"": 0,
        ""pass_rate"": 1.0,
        ""detailed_criteria"": [
          {
            ""criteria_text"": ""Publishes updates"",
            ""result"": ""Pass""
          },
          {
            ""criteria_text"": ""Operates a dedicated game launcher/platform"",
            ""result"": ""Pass""
          },
          {
            ""criteria_text"": ""Past DDoS incidents or security downtime"",
            ""result"": ""Pass""
          }
        ]
      },
      ""final_status"": ""Qualified""
    }
  }
}","QUALIFIED: Online Gaming
NTH Score: 1.000
Total NTH Criteria: 3
Passed: 3
ND (No Data): 0"
